Road,Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Broken_bridges
N1,6,980180,3710.119828815977,3344535,4771.091298145507,"N1_95, N1_189, N1_530, N1_1032, N1_1078, N1_782, N1_115, N1_912, N1_203, N1_161, N1_870, N1_1049, N1_207, N1_104, N1_917, N1_278, N1_862, N1_918, N1_905, N1_255, N1_460, N1_997, N1_850, N1_38, N1_397, N1_885, N1_962, N1_502, N1_216, N1_41"
N1,6,846891,4376.784697508897,3730193,6637.354092526691,"N1_931, N1_940, N1_1047, N1_796, N1_1078, N1_863, N1_201, N1_1023, N1_161, N1_450, N1_853, N1_823, N1_932, N1_278, N1_865, N1_935, N1_918, N1_803, N1_939, N1_905, N1_949, N1_232, N1_812, N1_772, N1_165, N1_38, N1_446, N1_996, N1_884, N1_45, N1_799, N1_994, N1_1042, N1_522, N1_1015"
N1,6,637172,4553.492424242424,3851153,7293.850378787879,"N1_837, N1_903, N1_677, N1_841, N1_774, N1_775, N1_843, N1_1047, N1_138, N1_239, N1_348, N1_999, N1_35, N1_792, N1_873, N1_932, N1_328, N1_935, N1_918, N1_526, N1_460, N1_498, N1_108, N1_771, N1_962, N1_930, N1_496, N1_222, N1_195, N1_994, N1_425, N1_801, N1_861, N1_817, N1_802, N1_899, N1_323"
N1,6,417483,3583.0484764542934,3203464,4436.930747922438,"N1_931, N1_800, N1_682, N1_650, N1_863, N1_35, N1_647, N1_1082, N1_1000, N1_278, N1_862, N1_32, N1_776, N1_255, N1_797, N1_83, N1_850, N1_421, N1_996, N1_930, N1_953, N1_222, N1_195, N1_994, N1_801, N1_861, N1_899, N1_1049"
N1,6,168557,4398.661946902655,3786075,6701.017699115044,"N1_147, N1_841, N1_806, N1_92, N1_203, N1_35, N1_161, N1_788, N1_1019, N1_212, N1_823, N1_873, N1_986, N1_406, N1_918, N1_211, N1_849, N1_731, N1_108, N1_771, N1_850, N1_386, N1_947, N1_397, N1_693, N1_1081, N1_924, N1_809, N1_884, N1_930, N1_216, N1_224, N1_839, N1_1042, N1_899, N1_320"
N1,6,243513,4585.564547206166,3864926,7446.870905587669,"N1_940, N1_880, N1_775, N1_796, N1_1032, N1_1078, N1_161, N1_870, N1_207, N1_241, N1_383, N1_462, N1_862, N1_1050, N1_990, N1_491, N1_905, N1_211, N1_460, N1_997, N1_920, N1_797, N1_246, N1_83, N1_850, N1_1017, N1_446, N1_693, N1_902, N1_924, N1_828, N1_793, N1_882, N1_929, N1_842, N1_899, N1_257, N1_320"
N1,6,920537,4636.373046875,3950827,7716.458984375,"N1_677, N1_515, N1_530, N1_1015, N1_912, N1_287, N1_85, N1_788, N1_178, N1_1049, N1_205, N1_143, N1_862, N1_918, N1_845, N1_211, N1_849, N1_824, N1_108, N1_850, N1_165, N1_446, N1_397, N1_828, N1_20, N1_981, N1_222, N1_799, N1_994, N1_1041, N1_417, N1_842, N1_522, N1_872, N1_41, N1_320"
N1,6,450420,3302.348329048843,2967896,3814.7763496143957,"N1_837, N1_95, N1_780, N1_682, N1_115, N1_239, N1_35, N1_792, N1_788, N1_520, N1_1050, N1_865, N1_905, N1_949, N1_771, N1_850, N1_1017, N1_996, N1_793, N1_799, N1_842, N1_817, N1_847, N1_320"
N1,6,175022,3617.5868347338937,3236052,4532.285714285715,"N1_95, N1_73, N1_1002, N1_875, N1_189, N1_800, N1_112, N1_92, N1_647, N1_914, N1_870, N1_788, N1_1019, N1_1000, N1_862, N1_1012, N1_935, N1_939, N1_803, N1_475, N1_255, N1_460, N1_83, N1_772, N1_188, N1_850, N1_1017, N1_1081, N1_996"
N1,6,129965,4372.573684210526,3771822,6617.231578947369,"N1_95, N1_880, N1_774, N1_843, N1_806, N1_15, N1_138, N1_682, N1_136, N1_870, N1_118, N1_853, N1_873, N1_383, N1_278, N1_32, N1_1012, N1_865, N1_990, N1_849, N1_460, N1_911, N1_824, N1_771, N1_386, N1_446, N1_947, N1_693, N1_884, N1_828, N1_496, N1_46, N1_839, N1_799, N1_431, N1_989, N1_847"
